orderNumber,orderDate,requiredDate,status,customerNumber,totalAmount,paymentMethod
201242,2024-10-15,2024-10-24,Shipped,10344,354.95,Bank Transfer
201243,2024-01-07,2024-01-14,Shipped,10295,6286.44,Invoice
201244,2024-04-17,2024-04-25,In Process,10210,577.45,COD
201245,2024-07-27,2024-08-06,Cancelled,10870,2790.33,COD
201246,2024-09-15,2024-09-19,Cancelled,10116,2159.06,Invoice
201247,2024-10-13,2024-10-16,Disputed,10243,7329.0,COD
201248,2024-10-25,2024-11-04,Shipped,10000,1145.41,Bank Transfer
201249,2024-07-03,2024-07-05,Delivered,10006,353.64,
201250,2024-08-21,2024-08-30,In Process,10712,3578.67,COD
201251,2024-03-02,2024-03-12,In Process,10601,4663.47,Credit Card
201252,2024-04-13,2024-04-22,Cancelled,10876,6742.76,Credit Card
201253,2024-01-24,2024-02-03,Cancelled,10428,2253.65,Invoice
201254,2024-04-30,2024-05-06,Delivered,10384,2663.73,Credit Card
201255,2024-02-10,2024-02-18,Delivered,10110,4196.89,Invoice
201256,2024-08-11,2024-08-13,Disputed,10540,5997.94,Credit Card
201257,2024-04-02,2024-04-11,Disputed,10606,3363.42,Bank Transfer
201258,2024-03-07,2024-03-09,Cancelled,10155,7343.47,COD
201259,2024-06-26,2024-06-28,Cancelled,10970,4371.98,Credit Card
201260,2024-08-08,2024-08-11,Cancelled,10376,1519.35,Bank Transfer
201261,2024-04-05,2024-04-11,Shipped,10032,5592.92,Invoice
201262,2024-08-25,2024-08-28,Disputed,10570,7403.1,COD
201263,2024-07-05,2024-07-11,Delivered,10788,861.5,Credit Card
201264,2024-10-27,2024-11-02,In Process,10721,705.14,Bank Transfer
201265,2024-01-03,2024-01-10,In Process,10504,2252.34,Invoice
201266,2024-01-25,2024-01-27,In Process,10363,414.58,Credit Card
201267,2024-06-25,2024-07-03,Cancelled,10987,273.38,Bank Transfer
201268,2024-02-14,2024-02-18,Delivered,10453,3995.38,Invoice
201269,2024-01-02,2024-01-10,In Process,10017,2059.13,COD
201270,2024-07-16,2024-07-20,In Process,10903,6338.65,Invoice
201271,2024-06-04,2024-06-09,Disputed,10759,3611.94,Invoice
201272,2024-09-11,2024-09-19,Cancelled,10791,6730.03,COD
201273,2024-05-01,2024-05-03,Delivered,10465,427.89,Bank Transfer
201274,2024-07-06,2024-07-11,Cancelled,10602,2701.87,COD
201275,2024-10-06,2024-10-10,Shipped,10726,507.62,COD
201276,2024-01-10,2024-01-20,Cancelled,10343,5976.08,COD
201277,2024-01-30,2024-02-06,Disputed,10311,6836.22,Bank Transfer
201278,2024-05-05,2024-05-15,Disputed,10212,1490.55,Invoice
201279,2024-10-05,2024-10-14,Shipped,10470,2245.28,Invoice
201280,2024-04-01,2024-04-09,In Process,10193,7307.01,Credit Card
201281,2024-06-04,2024-06-06,Cancelled,10028,6060.03,Credit Card
201282,2024-09-29,2024-10-05,Shipped,10567,1966.91,Invoice
201283,2024-01-29,2024-02-02,Shipped,10933,5872.56,Invoice
201284,2024-07-19,2024-07-23,Cancelled,10695,3061.51,COD
201285,2024-09-23,2024-09-30,In Process,10995,5939.8,COD
201286,2024-02-25,2024-03-04,Delivered,10167,6073.55,COD
201287,2024-06-01,2024-06-08,Disputed,10711,3885.04,Credit Card
201288,2024-01-07,2024-01-12,In Process,10513,5976.9,Credit Card
201289,2024-10-14,2024-10-17,Cancelled,10460,2032.32,COD
201290,2024-07-02,2024-07-04,Disputed,10705,5868.97,COD
201291,2024-05-09,2024-05-11,In Process,10907,5584.19,COD
201292,2024-01-18,2024-01-26,Disputed,10788,3606.55,COD
201293,2024-02-28,2024-03-03,Cancelled,10612,3665.67,Credit Card
201294,2024-04-14,2024-04-20,Shipped,10269,5338.43,COD
201295,2024-10-27,2024-11-06,Shipped,10531,2895.24,Bank Transfer
201296,2024-01-07,2024-01-10,Delivered,10646,4358.6,Invoice
201297,2024-08-02,2024-08-08,Cancelled,10584,6302.2,Bank Transfer
201298,2024-01-12,2024-01-19,Shipped,10224,3038.21,COD
201299,2024-10-13,2024-10-19,Delivered,10993,4946.17,COD
201300,2024-02-22,2024-03-02,Shipped,10474,6605.89,Bank Transfer
201301,2024-08-25,2024-08-31,In Process,10566,4110.99,Invoice
201302,2024-09-05,2024-09-13,Cancelled,10542,3884.7,COD
201303,2024-08-10,2024-08-16,In Process,10545,6418.23,Bank Transfer
201304,2024-07-06,2024-07-08,In Process,10958,5270.14,COD
201305,2024-03-06,2024-03-08,Cancelled,10604,7342.61,Credit Card
201306,2024-08-07,2024-08-09,Disputed,10899,1140.39,COD
201307,2024-09-18,2024-09-20,Shipped,10688,3214.21,Bank Transfer
201308,2024-06-14,2024-06-20,Shipped,10775,6036.84,COD
201309,2024-01-23,2024-01-25,Delivered,10234,597.98,Bank Transfer
201310,2024-03-23,2024-03-28,Delivered,10092,552.43,Credit Card
201311,2024-06-01,2024-06-11,Delivered,10383,286.77,Invoice
201312,2024-08-28,2024-09-07,Disputed,10838,6902.83,Bank Transfer
201313,2024-03-16,2024-03-19,In Process,10392,2111.41,Bank Transfer
201314,2024-05-23,2024-05-28,Delivered,10006,5452.52,COD
201315,2024-04-06,2024-04-14,Shipped,10727,2065.95,COD
201316,2024-02-22,2024-02-26,Disputed,10693,3714.03,COD
201317,2024-05-05,2024-05-14,Disputed,10013,4072.28,Invoice
201318,2024-04-29,2024-05-08,In Process,10268,7128.78,Invoice
201319,2024-03-13,2024-03-17,Disputed,10371,4953.45,Invoice
201320,2024-07-12,2024-07-14,Shipped,10351,4196.91,COD
201321,2024-09-26,2024-09-30,Disputed,10348,3383.67,Credit Card
201322,2024-03-24,2024-03-27,Cancelled,10059,5496.41,Bank Transfer
201323,2024-10-25,2024-10-27,In Process,10892,999.15,Bank Transfer
201324,2024-08-21,2024-08-26,Cancelled,10795,7029.23,Bank Transfer
201325,2024-04-14,2024-04-24,Delivered,10636,7143.92,Invoice
201326,2024-10-05,2024-10-10,In Process,10651,1268.79,Bank Transfer
201327,2024-03-03,2024-03-07,Shipped,10005,6177.02,Invoice
201328,2024-09-30,2024-10-10,Shipped,10744,3368.13,Invoice
201329,2024-03-26,2024-03-31,In Process,10227,2955.12,COD
201330,2024-02-29,2024-03-09,Disputed,10633,5840.18,COD
201331,2024-10-19,2024-10-29,Shipped,10023,4739.36,COD
201332,2024-07-02,2024-07-10,Delivered,10335,3350.82,Credit Card
201333,2024-02-01,2024-02-05,Shipped,10230,2953.45,Credit Card
201334,2024-09-16,2024-09-19,Disputed,10727,3223.46,Credit Card
201335,2024-02-05,2024-02-13,Shipped,10666,7363.33,Credit Card
201336,2024-07-09,2024-07-16,In Process,10468,4772.45,Bank Transfer
201337,2024-10-15,2024-10-19,In Process,10713,4747.03,Bank Transfer
201338,2024-05-28,2024-06-06,Shipped,10646,5645.99,Invoice
201339,2024-01-24,2024-02-01,Disputed,10131,1407.87,Credit Card
201340,2024-06-14,2024-06-18,Disputed,10045,4277.96,Bank Transfer
201341,2024-09-19,2024-09-27,Shipped,10168,1088.33,Invoice
201342,2024-01-15,2024-01-18,Shipped,10480,555.09,Credit Card
201343,2024-05-24,2024-05-26,In Process,10278,5781.63,COD
201344,2024-03-26,2024-04-02,Disputed,10757,6234.74,COD
201345,2024-01-03,2024-01-11,Disputed,10066,1552.55,Invoice
201346,2024-08-25,2024-08-27,Cancelled,10467,6004.05,Invoice
201347,2024-08-12,2024-08-22,In Process,10693,2181.72,COD
201348,2024-05-29,2024-06-03,Cancelled,10887,1492.49,Bank Transfer
201349,2024-07-01,2024-07-09,Cancelled,10255,5217.68,COD
201350,2024-08-26,2024-08-30,Shipped,10741,3665.93,Invoice
201351,2024-07-16,2024-07-20,Shipped,10032,7450.09,Invoice
201352,2024-10-02,2024-10-12,In Process,10622,5802.81,COD
201353,2024-01-22,2024-01-28,In Process,10907,6645.38,Credit Card
201354,2024-08-15,2024-08-17,Cancelled,10137,2665.34,Credit Card
201355,2024-09-13,2024-09-21,Shipped,10856,4224.51,Bank Transfer
201356,2024-08-11,2024-08-15,In Process,10371,6346.25,Credit Card
201357,2024-05-31,2024-06-05,Delivered,10435,4216.84,Invoice
201358,2024-06-02,2024-06-06,Shipped,10764,1792.59,Invoice
201359,2024-07-27,2024-07-31,In Process,10939,6833.77,COD
201360,2024-07-15,2024-07-18,Shipped,10143,6205.86,Credit Card
201361,2024-07-04,2024-07-10,Delivered,10032,3771.31,Credit Card
201362,2024-09-21,2024-10-01,Delivered,10378,1054.02,Invoice
201363,2024-04-19,2024-04-27,Delivered,10851,1643.71,COD
201364,2024-03-04,2024-03-06,Shipped,10251,4314.55,COD
201365,2024-01-04,2024-01-09,Delivered,10949,5066.27,Credit Card
201366,2024-08-13,2024-08-23,Delivered,10563,5178.16,COD
201367,2024-06-07,2024-06-17,Delivered,10049,7351.27,Invoice
201368,2024-01-08,2024-01-13,Cancelled,10030,6600.2,Bank Transfer
201369,2024-08-23,2024-08-31,In Process,10695,519.23,COD
201370,2024-08-17,2024-08-27,In Process,10766,4839.44,Credit Card
201371,2024-05-05,2024-05-09,Cancelled,10749,4834.85,COD
201372,2024-06-29,2024-07-09,Disputed,10259,3740.67,Invoice
201373,2024-05-22,2024-05-24,In Process,10991,3317.31,Invoice
201374,2024-07-20,2024-07-29,Cancelled,10747,7078.47,Bank Transfer
201375,2024-06-17,2024-06-22,Cancelled,10301,3383.52,Invoice
201376,2024-08-09,2024-08-17,Disputed,10169,4399.6,Credit Card
201377,2024-04-06,2024-04-10,Disputed,10133,3557.06,Invoice
201378,2024-05-25,2024-06-03,Disputed,10591,3406.77,Bank Transfer
201379,2024-04-16,2024-04-24,Delivered,10520,2181.68,Bank Transfer
201380,2024-09-14,2024-09-19,Shipped,10325,4361.33,COD
201381,2024-06-04,2024-06-13,In Process,10546,5915.24,Credit Card
201382,2024-02-17,2024-02-22,Disputed,10642,3227.77,COD
201383,2024-01-12,2024-01-15,Delivered,10477,6192.53,COD
201384,2024-05-26,2024-06-04,In Process,10593,2550.06,Invoice
201385,2024-07-21,2024-07-24,In Process,10752,3304.99,COD
201386,2024-10-13,2024-10-18,Cancelled,10482,6134.77,COD
201387,2024-06-10,2024-06-19,Shipped,10290,462.9,Invoice
201388,2024-07-06,2024-07-15,Disputed,10427,3602.54,COD
201389,2024-01-17,2024-01-27,Cancelled,10839,560.5,Invoice
201390,2024-02-19,2024-02-26,In Process,10798,1235.31,Invoice
201391,2024-07-13,2024-07-20,Shipped,10428,6364.61,
201392,2024-04-07,2024-04-15,Disputed,10781,6344.22,COD
201393,2024-01-30,2024-02-01,Delivered,10697,4849.93,Invoice
201394,2024-03-24,2024-04-01,Cancelled,10794,6762.75,Credit Card
201395,2024-06-13,2024-06-22,Cancelled,10606,5270.82,Invoice
201396,2024-03-05,2024-03-11,Disputed,10085,4604.19,Invoice
201397,2024-03-26,2024-04-02,Cancelled,10741,3623.7,Bank Transfer
201398,2024-01-26,2024-02-03,Delivered,10697,844.13,COD
201399,2024-03-29,2024-04-07,Delivered,10084,5507.83,Invoice
201400,2024-05-16,2024-05-20,In Process,10358,3583.86,COD
201401,2024-09-12,2024-09-16,In Process,10587,2874.6,Credit Card
201402,2024-05-14,2024-05-24,In Process,10740,3620.31,Credit Card
201403,2024-04-06,2024-04-12,In Process,10400,2107.18,Invoice
201404,2024-10-17,2024-10-20,Cancelled,10299,2769.49,Credit Card
201405,2024-09-29,2024-10-06,Disputed,10668,1988.65,Bank Transfer
201406,2024-09-20,2024-09-27,In Process,10392,2725.58,Bank Transfer
201407,2024-08-28,2024-09-02,Delivered,10668,2558.01,Bank Transfer
201408,2024-07-10,2024-07-19,Shipped,10915,3036.61,Invoice
201409,2024-09-29,2024-10-03,Cancelled,10758,4921.42,Credit Card
201410,2024-03-17,2024-03-21,Cancelled,10276,3140.77,Invoice
201411,2024-06-06,2024-06-08,In Process,10958,7430.54,Invoice
201412,2024-05-09,2024-05-19,Delivered,10436,6298.77,Credit Card
201413,2024-04-28,2024-05-05,Cancelled,10645,4150.51,COD
201414,2024-05-23,2024-05-26,Disputed,10311,212.46,Bank Transfer
201415,2024-01-29,2024-02-02,In Process,10561,4530.82,Bank Transfer
201416,2024-03-11,2024-03-20,Shipped,10658,2858.38,Bank Transfer
201417,2024-05-17,2024-05-24,In Process,10215,7491.31,Invoice
201418,2024-07-06,2024-07-15,Delivered,10444,3207.93,Invoice
201419,2024-01-12,2024-01-19,Cancelled,10468,6762.74,Bank Transfer
201420,2024-07-02,2024-07-06,Cancelled,10136,1305.42,Credit Card
201421,2024-05-18,2024-05-23,Delivered,10992,1669.3,Invoice
201422,2024-08-04,2024-08-12,Delivered,10806,797.2,Invoice
201423,2024-02-26,2024-03-03,Shipped,10088,3941.23,Invoice
201424,2024-01-07,2024-01-16,Disputed,10280,7116.17,COD
201425,2024-07-12,2024-07-20,Cancelled,10723,1142.16,Credit Card
201426,2024-06-10,2024-06-18,Delivered,10938,5975.39,Invoice
201427,2024-01-09,2024-01-12,Shipped,10004,2139.63,Credit Card
201428,2024-05-29,2024-06-01,In Process,10294,1897.85,COD
201429,2024-02-05,2024-02-12,Cancelled,10095,1839.13,Invoice
201430,2024-02-16,2024-02-18,Cancelled,10279,3366.51,Bank Transfer
201431,2024-03-25,2024-04-03,Shipped,10029,2661.07,Bank Transfer
201432,2024-05-02,2024-05-05,Shipped,10171,281.05,COD
201433,2024-04-02,2024-04-04,Disputed,10486,2239.27,Credit Card
201434,2024-01-06,2024-01-08,Disputed,10558,5365.99,Bank Transfer
201435,2024-01-14,2024-01-16,Cancelled,10845,3119.73,Bank Transfer
201436,2024-02-07,2024-02-13,Delivered,10409,1498.8,
201437,2024-08-27,2024-09-06,Disputed,10342,4071.96,Credit Card
201438,2024-01-31,2024-02-06,In Process,10436,5165.49,Credit Card
201439,2024-02-04,2024-02-14,Delivered,10985,5020.54,Credit Card
201440,2024-10-17,2024-10-25,Disputed,10538,4917.26,Bank Transfer
201441,2024-02-26,2024-03-06,In Process,10614,4911.9,Invoice
201442,2024-02-02,2024-02-11,Cancelled,10892,908.44,Bank Transfer
201443,2024-02-09,2024-02-12,Delivered,10044,3532.62,Bank Transfer
201444,2024-10-25,2024-11-01,In Process,10917,6637.27,Bank Transfer
201445,2024-09-28,2024-10-02,Cancelled,10023,1825.17,Credit Card
201446,2024-08-25,2024-08-30,Cancelled,10902,5294.9,Invoice
201447,2024-07-31,2024-08-10,Delivered,10144,4926.02,Invoice
201448,2024-05-19,2024-05-27,Shipped,10313,6651.07,Invoice
201449,2024-07-30,2024-08-06,Shipped,10843,1848.37,Bank Transfer
201450,2024-06-23,2024-07-02,Disputed,10899,1477.43,COD
201451,2024-04-21,2024-04-28,Delivered,10240,4939.04,COD
201452,2024-07-04,2024-07-12,Disputed,10988,1271.82,Invoice
201453,2024-05-17,2024-05-20,Cancelled,10794,5011.24,Bank Transfer
201454,2024-08-12,2024-08-17,Disputed,10821,6899.3,Invoice
201455,2024-08-30,2024-09-01,In Process,10004,2707.89,Bank Transfer
201456,2024-01-21,2024-01-30,In Process,10087,1817.92,Bank Transfer
201457,2024-03-11,2024-03-18,Disputed,10375,6375.91,Credit Card
201458,2024-05-04,2024-05-09,Shipped,10785,787.01,Bank Transfer
201459,2024-05-11,2024-05-20,Shipped,10123,5728.75,Credit Card
201460,2024-02-07,2024-02-17,In Process,10233,2594.25,Bank Transfer
201461,2024-06-02,2024-06-05,Shipped,10330,6210.01,Bank Transfer
201462,2024-03-23,2024-03-29,Cancelled,10408,6657.31,Credit Card
201463,2024-05-15,2024-05-18,Shipped,10738,634.58,Invoice
201464,2024-09-03,2024-09-12,Disputed,10957,3282.26,Credit Card
201465,2024-10-23,2024-11-01,Disputed,10824,6658.41,COD
201466,2024-08-27,2024-09-01,Cancelled,10905,6378.95,Invoice
201467,2024-05-01,2024-05-11,In Process,10561,3846.87,Invoice
201468,2024-10-10,2024-10-17,Cancelled,10942,2142.74,Bank Transfer
201469,2024-08-21,2024-08-31,Disputed,10127,6160.05,COD
201470,2024-08-13,2024-08-22,Shipped,10748,1201.62,Credit Card
201471,2024-03-16,2024-03-19,Disputed,10431,2845.89,Bank Transfer
201472,2024-06-01,2024-06-03,Shipped,10593,3002.73,Bank Transfer
201473,2024-07-31,2024-08-06,Disputed,10978,349.79,COD
201474,2024-01-19,2024-01-25,Disputed,10303,3351.11,Invoice
201475,2024-02-16,2024-02-21,Delivered,10033,2481.97,Bank Transfer
201476,2024-03-12,2024-03-21,Cancelled,10378,4069.68,Credit Card
201477,2024-09-26,2024-09-29,Cancelled,10088,6579.9,Credit Card
201478,2024-07-19,2024-07-27,Cancelled,10436,6619.84,Credit Card
201479,2024-01-16,2024-01-23,Shipped,10612,1169.9,Bank Transfer
201480,2024-06-12,2024-06-17,Shipped,10979,69.0,COD
201481,2024-04-05,2024-04-15,In Process,10576,1731.92,Credit Card
201482,2024-01-28,2024-02-05,In Process,10380,1276.28,Credit Card
201483,2024-01-23,2024-01-25,Disputed,10846,6836.18,Credit Card
201484,2024-09-19,2024-09-27,Cancelled,10342,3487.98,Invoice
201485,2024-10-14,2024-10-19,Disputed,10071,6127.97,Bank Transfer
201486,2024-05-26,2024-06-02,In Process,10828,6116.89,COD
201487,2024-03-30,2024-04-06,Disputed,10938,5269.21,Bank Transfer
201488,2024-04-12,2024-04-16,Delivered,10457,970.25,Bank Transfer
201489,2024-08-13,2024-08-23,Shipped,10141,4347.46,Invoice
201490,2024-10-18,2024-10-28,Delivered,10688,6899.23,COD
201491,2024-07-27,2024-08-05,Shipped,10536,2579.67,Invoice
201492,2024-05-01,2024-05-06,In Process,10019,464.5,COD
201493,2024-06-14,2024-06-17,In Process,10668,3406.72,Invoice
201494,2024-10-07,2024-10-16,Cancelled,10374,3780.38,Invoice
201495,2024-03-02,2024-03-05,Delivered,10142,7143.15,COD
201496,2024-05-01,2024-05-04,Delivered,10189,3784.01,Bank Transfer
201497,2024-06-19,2024-06-28,Cancelled,10081,114.17,Invoice
201498,2024-06-19,2024-06-24,Disputed,10997,319.86,Invoice
201499,2024-10-02,2024-10-11,Disputed,10049,59.44,Invoice
201500,2024-10-12,2024-10-16,Delivered,10612,3958.5,Invoice
201501,2024-09-28,2024-10-07,Disputed,10427,2560.91,Invoice
201502,2024-05-13,2024-05-17,Delivered,10719,6174.6,Credit Card
201503,2024-04-11,2024-04-17,Cancelled,10580,6344.94,Bank Transfer
201504,2024-03-20,2024-03-28,Cancelled,10747,5665.33,Bank Transfer
201505,2024-08-13,2024-08-20,Shipped,10352,1278.86,COD
201506,2024-08-22,2024-08-26,In Process,10237,1651.76,Bank Transfer
201507,2024-02-17,2024-02-27,In Process,10100,4479.86,Bank Transfer
201508,2024-10-27,2024-10-30,Shipped,10481,1761.33,Invoice
201509,2024-09-27,2024-09-30,Shipped,10658,1340.48,Bank Transfer
201510,2024-03-27,2024-04-04,Shipped,10437,971.65,Bank Transfer
201511,2024-01-17,2024-01-22,Cancelled,10819,7472.12,Invoice
201512,2024-06-15,2024-06-20,In Process,10530,132.81,Bank Transfer
201513,2024-04-17,2024-04-27,Delivered,10965,1489.33,Invoice
201514,2024-03-29,2024-04-02,Shipped,10432,4640.68,Bank Transfer
201515,2024-09-22,2024-10-02,Delivered,10395,673.62,Invoice
201516,2024-03-19,2024-03-27,Delivered,10350,6561.43,Bank Transfer
201517,2024-05-28,2024-05-30,Cancelled,10454,4710.58,Credit Card
201518,2024-09-13,2024-09-21,Delivered,10702,2991.21,Invoice
201519,2024-01-25,2024-01-27,Delivered,10570,2287.61,Invoice
201520,2024-03-03,2024-03-09,Cancelled,10620,2833.25,Bank Transfer
201521,2024-09-27,2024-10-07,In Process,10506,1915.73,Credit Card
201522,2024-08-15,2024-08-24,Cancelled,10118,6271.52,Bank Transfer
201523,2024-03-02,2024-03-04,Cancelled,10057,2355.98,Bank Transfer
201524,2024-05-06,2024-05-11,In Process,10863,870.76,Bank Transfer
201525,2024-07-29,2024-08-01,Shipped,10689,7245.18,Credit Card
201526,2024-05-13,2024-05-18,In Process,10695,6781.92,COD
201527,2024-01-17,2024-01-20,Disputed,10186,5664.16,Invoice
201528,2024-07-14,2024-07-20,Shipped,10915,3942.52,Invoice
201529,2024-02-22,2024-02-26,Disputed,10696,6066.23,Credit Card
201530,2024-06-21,2024-06-24,In Process,10396,7136.1,COD
201531,2024-10-17,2024-10-21,Delivered,10476,120.98,Credit Card
201532,2024-09-30,2024-10-09,Delivered,10995,6674.62,Bank Transfer
201533,2024-05-06,2024-05-15,Shipped,10821,6397.7,Credit Card
201534,2024-07-16,2024-07-25,Shipped,10588,6938.39,Bank Transfer
201535,2024-06-12,2024-06-15,Disputed,10916,6654.95,Invoice
201536,2024-03-01,2024-03-06,In Process,10893,1308.48,COD
201537,2024-10-15,2024-10-17,Cancelled,10614,4833.52,Invoice
201538,2024-10-07,2024-10-11,Disputed,10849,6228.57,COD
201539,2024-02-24,2024-02-26,Shipped,10849,2888.93,Invoice
201540,2024-03-30,2024-04-01,Disputed,10867,2207.84,Credit Card
201541,2024-05-25,2024-05-31,Disputed,10770,7112.18,Invoice
201542,2024-04-12,2024-04-17,Disputed,10032,1071.48,COD
201543,2024-07-15,2024-07-20,Disputed,10470,1874.14,Credit Card
201544,2024-07-17,2024-07-25,In Process,10287,6849.77,Invoice
201545,2024-07-03,2024-07-10,In Process,10989,6194.5,Credit Card
201546,2024-04-11,2024-04-20,Shipped,10874,2720.02,Bank Transfer
201547,2024-08-26,2024-09-01,Disputed,10335,7473.03,Invoice
201548,2024-06-11,2024-06-21,Shipped,10688,2891.24,Bank Transfer
201549,2024-05-19,2024-05-21,Disputed,10597,5543.92,Bank Transfer
201550,2024-04-12,2024-04-14,Cancelled,10229,4351.39,Invoice
201551,2024-07-12,2024-07-14,Shipped,10191,1991.14,Credit Card
201552,2024-08-20,2024-08-30,Delivered,10767,6813.98,Credit Card
201553,2024-08-13,2024-08-15,Cancelled,10682,3765.06,COD
201554,2024-10-02,2024-10-06,Cancelled,10283,2750.8,Invoice
201555,2024-08-15,2024-08-24,Shipped,10982,3125.32,Invoice
201556,2024-08-18,2024-08-21,Delivered,10088,5002.75,Credit Card
201557,2024-05-16,2024-05-22,In Process,10971,1388.66,Credit Card
201558,2024-04-08,2024-04-15,Cancelled,10518,5691.63,Bank Transfer
201559,2024-05-14,2024-05-19,Delivered,10778,2687.43,Bank Transfer
201560,2024-08-22,2024-08-26,Delivered,10232,6193.62,Credit Card
201561,2024-01-02,2024-01-08,Delivered,10517,2094.82,Bank Transfer
201562,2024-07-19,2024-07-23,Disputed,10039,6770.15,COD
201563,2024-09-08,2024-09-14,Cancelled,10573,287.4,Invoice
201564,2024-08-22,2024-08-26,Disputed,10098,3736.43,Credit Card
201565,2024-05-15,2024-05-19,Shipped,10836,4581.44,COD
201566,2024-06-14,2024-06-16,Cancelled,10204,7351.3,Invoice
201567,2024-10-19,2024-10-24,Shipped,10158,4924.44,COD
201568,2024-05-21,2024-05-31,Shipped,10548,3312.36,COD
201569,2024-02-05,2024-02-07,Delivered,10971,5338.16,Bank Transfer
201570,2024-03-07,2024-03-09,Delivered,10576,5380.53,Bank Transfer
201571,2024-07-19,2024-07-27,Cancelled,10988,5485.96,Bank Transfer
201572,2024-09-09,2024-09-11,Shipped,10965,2504.93,COD
201573,2024-01-20,2024-01-27,Disputed,10661,2586.9,Bank Transfer
201574,2024-07-10,2024-07-13,Shipped,10132,6128.14,Invoice
201575,2024-09-26,2024-09-30,In Process,10594,5932.1,Bank Transfer
201576,2024-05-28,2024-06-04,Shipped,10531,6638.79,Invoice
201577,2024-07-28,2024-07-31,In Process,10807,5166.1,Bank Transfer
201578,2024-04-06,2024-04-11,Delivered,10323,4813.23,Bank Transfer
201579,2024-08-20,2024-08-29,Disputed,10421,7495.36,Bank Transfer
201580,2024-10-21,2024-10-24,Cancelled,10285,6284.37,Credit Card
201581,2024-08-08,2024-08-18,Cancelled,10193,3723.81,Invoice
201582,2024-07-31,2024-08-03,Delivered,10310,7459.77,COD
201583,2024-04-14,2024-04-17,Delivered,10938,2290.77,Bank Transfer
201584,2024-02-21,2024-02-24,Cancelled,10666,1672.66,Invoice
201585,2024-05-19,2024-05-22,Cancelled,10541,3994.71,Invoice
201586,2024-05-15,2024-05-19,Delivered,10967,5182.99,Credit Card
201587,2024-04-29,2024-05-03,Shipped,10003,7343.83,Credit Card
201588,2024-07-05,2024-07-14,Disputed,10130,2473.54,Credit Card
201589,2024-09-02,2024-09-07,Disputed,10073,6233.96,Credit Card
201590,2024-10-21,2024-10-24,Disputed,10666,3797.58,COD
201591,2024-02-20,2024-02-28,Delivered,10249,5847.98,COD
201592,2024-01-11,2024-01-18,Disputed,10773,3502.16,Bank Transfer
201593,2024-05-01,2024-05-05,Cancelled,10404,7255.91,Invoice
201594,2024-02-23,2024-03-02,Cancelled,10244,3999.83,Credit Card
201595,2024-08-02,2024-08-08,Cancelled,10742,1095.31,
201596,2024-09-01,2024-09-07,Cancelled,10475,1128.81,Bank Transfer
201597,2024-09-13,2024-09-17,Disputed,10429,5787.3,Bank Transfer
201598,2024-03-15,2024-03-21,In Process,10448,2049.46,Invoice
201599,2024-02-09,2024-02-11,Cancelled,10716,1352.81,Credit Card
201600,2024-07-23,2024-07-31,Disputed,10405,2587.53,Credit Card
201601,2024-10-14,2024-10-17,Delivered,10592,5474.7,Invoice
201602,2024-05-11,2024-05-18,Delivered,10414,7039.5,COD
201603,2024-05-29,2024-06-03,Shipped,10231,7280.38,Bank Transfer
201604,2024-10-17,2024-10-24,Delivered,10104,3279.32,COD
201605,2024-04-24,2024-05-01,Disputed,10228,4001.53,Credit Card
201606,2024-01-29,2024-02-02,In Process,10238,6350.62,Invoice
201607,2024-04-21,2024-04-23,Delivered,10136,1586.62,COD
201608,2024-01-12,2024-01-18,In Process,10539,4829.56,Invoice
201609,2024-09-14,2024-09-19,Shipped,10451,6364.91,Invoice
201610,2024-05-22,2024-05-24,Disputed,10174,3496.58,COD
201611,2024-01-23,2024-01-28,Shipped,10244,4448.72,Invoice
201612,2024-05-21,2024-05-25,Delivered,10345,5876.42,Invoice
201613,2024-01-12,2024-01-22,Cancelled,10049,3135.66,Bank Transfer
201614,2024-04-15,2024-04-21,Shipped,10754,6518.51,Bank Transfer
201615,2024-10-05,2024-10-09,Disputed,10440,1615.13,COD
201616,2024-05-29,2024-05-31,Cancelled,10699,469.81,Credit Card
201617,2024-05-22,2024-05-29,Delivered,10586,7277.55,Invoice
201618,2024-03-02,2024-03-09,Disputed,10150,7481.0,Credit Card
201619,2024-07-10,2024-07-13,Cancelled,10868,3951.91,COD
201620,2024-09-09,2024-09-12,Delivered,10703,3175.57,Credit Card
201621,2024-07-26,2024-08-03,Delivered,10819,4306.87,Credit Card
201622,2024-07-10,2024-07-17,Disputed,10280,2480.0,COD
201623,2024-09-24,2024-09-27,Shipped,10329,3840.25,Credit Card
201624,2024-04-18,2024-04-24,In Process,10595,6812.67,Credit Card
201625,2024-06-23,2024-06-25,In Process,10269,2193.03,Invoice
201626,2024-07-10,2024-07-16,Delivered,10113,2420.23,Credit Card
201627,2024-10-02,2024-10-09,Shipped,10970,3564.04,
201628,2024-05-05,2024-05-10,Delivered,10800,1890.02,Invoice
201629,2024-01-07,2024-01-11,Shipped,10414,4108.72,Bank Transfer
201630,2024-10-03,2024-10-07,Cancelled,10883,5823.81,Credit Card
201631,2024-10-23,2024-11-01,Cancelled,10420,1294.6,Credit Card
201632,2024-05-12,2024-05-20,Disputed,10983,2067.97,COD
201633,2024-09-06,2024-09-12,Cancelled,10497,5216.93,COD
201634,2024-08-18,2024-08-26,Delivered,10172,2048.51,Invoice
201635,2024-05-05,2024-05-12,In Process,10410,86.47,Invoice
